# Spherical Bessel functions via up and down recursion, l = 10
#   x       jdown(x)      jup(x)         rel. error          log10(x)    log10(rel.err.)   Bessel GSL Routuine
8.80000000 3.27760160e-02 3.27760160e-02  1.37609191e-15  9.44482672e-01  -1.48613526e+01  3.27760160e-02
8.90000000 3.50602042e-02 3.50602042e-02  2.17705044e-15  9.49390007e-01  -1.46621315e+01  3.50602042e-02
9.00000000 3.74283363e-02 3.74283363e-02  3.70782919e-16  9.54242509e-01  -1.54308803e+01  3.74283363e-02
9.10000000 3.98768818e-02 3.98768818e-02  3.48015873e-16  9.59041392e-01  -1.54584009e+01  3.98768818e-02
9.20000000 4.24016336e-02 4.24016336e-02  1.30917482e-15  9.63787827e-01  -1.48830024e+01  4.24016336e-02
9.30000000 4.49976911e-02 4.49976911e-02  1.54205555e-16  9.68482949e-01  -1.58119000e+01  4.49976911e-02
9.40000000 4.76594460e-02 4.76594460e-02  5.09576395e-16  9.73127854e-01  -1.52927907e+01  4.76594460e-02
9.50000000 5.03805738e-02 5.03805738e-02  2.20367285e-15  9.77723605e-01  -1.46568529e+01  5.03805738e-02
9.60000000 5.31540289e-02 5.31540289e-02  1.30543141e-16  9.82271233e-01  -1.58842459e+01  5.31540289e-02
9.70000000 5.59720453e-02 5.59720453e-02  4.95882819e-16  9.86771734e-01  -1.53046209e+01  5.59720453e-02
9.80000000 5.88261423e-02 5.88261423e-02  2.35911914e-16  9.91226076e-01  -1.56272501e+01  5.88261423e-02
9.90000000 6.17071357e-02 6.17071357e-02  5.62244044e-17  9.95635195e-01  -1.62500751e+01  6.17071357e-02
10.00000000 6.46051545e-02 6.46051545e-02  1.07404648e-16  1.00000000e+00  -1.59689769e+01  6.46051545e-02
10.10000000 6.75096640e-02 6.75096640e-02  1.02783713e-16  1.00432137e+00  -1.59880757e+01  6.75096640e-02
10.20000000 7.04094942e-02 7.04094942e-02  0.00000000e+00  1.00860017e+00  -2.00000000e+01  7.04094942e-02
10.30000000 7.32928747e-02 7.32928747e-02  5.68041076e-16  1.01283722e+00  -1.52456203e+01  7.32928747e-02
10.40000000 7.61474756e-02 7.61474756e-02  4.55622058e-16  1.01703334e+00  -1.53413953e+01  7.61474756e-02
10.50000000 7.89604542e-02 7.89604542e-02  8.78780900e-17  1.02118930e+00  -1.60561194e+01  7.89604542e-02
10.60000000 8.17185086e-02 8.17185086e-02  1.69824291e-16  1.02530587e+00  -1.57700002e+01  8.17185086e-02
10.70000000 8.44079358e-02 8.44079358e-02  8.22066532e-17  1.02938378e+00  -1.60850930e+01  8.44079358e-02
10.80000000 8.70146969e-02 8.70146969e-02  0.00000000e+00  1.03342376e+00  -2.00000000e+01  8.70146969e-02
10.90000000 8.95244870e-02 8.95244870e-02  7.75083347e-17  1.03742650e+00  -1.61106516e+01  8.95244870e-02
11.00000000 9.19228105e-02 9.19228105e-02  3.01944375e-16  1.04139269e+00  -1.55200731e+01  9.19228105e-02
11.10000000 9.41950616e-02 9.41950616e-02  0.00000000e+00  1.04532298e+00  -2.00000000e+01  9.41950616e-02
11.20000000 9.63266085e-02 9.63266085e-02  7.20350691e-17  1.04921802e+00  -1.61424560e+01  9.63266085e-02
11.30000000 9.83028830e-02 9.83028830e-02  0.00000000e+00  1.05307844e+00  -2.00000000e+01  9.83028830e-02
11.40000000 1.00109472e-01 1.00109472e-01  1.38626121e-16  1.05690485e+00  -1.58581549e+01  1.00109472e-01
11.50000000 1.01732213e-01 1.01732213e-01  6.82074407e-17  1.06069784e+00  -1.61661682e+01  1.01732213e-01
11.60000000 1.03157293e-01 1.03157293e-01  2.01795540e-16  1.06445799e+00  -1.56950884e+01  1.03157293e-01
11.70000000 1.04371347e-01 1.04371347e-01  1.32965495e-16  1.06818586e+00  -1.58762610e+01  1.04371347e-01
11.80000000 1.05361557e-01 1.05361557e-01  6.58579286e-17  1.07188201e+00  -1.61813919e+01  1.05361557e-01
11.90000000 1.06115757e-01 1.06115757e-01  1.30779709e-16  1.07554696e+00  -1.58834596e+01  1.06115757e-01
12.00000000 1.06622531e-01 1.06622531e-01  6.50790585e-17  1.07918125e+00  -1.61865587e+01  1.06622531e-01
12.10000000 1.06871311e-01 1.06871311e-01  1.29855128e-16  1.08278537e+00  -1.58865409e+01  1.06871311e-01
12.20000000 1.06852480e-01 1.06852480e-01  5.19512055e-16  1.08635983e+00  -1.52844044e+01  1.06852480e-01
12.30000000 1.06557460e-01 1.06557460e-01  1.30237599e-16  1.08990511e+00  -1.58852636e+01  1.06557460e-01
12.40000000 1.05978811e-01 1.05978811e-01  1.24401267e-15  1.09342169e+00  -1.49051752e+01  1.05978811e-01
12.50000000 1.05110311e-01 1.05110311e-01  6.66755026e-15  1.09691001e+00  -1.41760337e+01  1.05110311e-01
12.60000000 1.03947043e-01 1.03947043e-01  4.67278876e-16  1.10037055e+00  -1.53304239e+01  1.03947043e-01
12.70000000 1.02485467e-01 1.02485467e-01  1.35412251e-16  1.10380372e+00  -1.58683420e+01  1.02485467e-01
12.80000000 1.00723493e-01 1.00723493e-01  2.75562083e-16  1.10720997e+00  -1.55597805e+01  1.00723493e-01
12.90000000 9.86605419e-02 9.86605419e-02  1.40661986e-16  1.11058971e+00  -1.58518233e+01  9.86605419e-02
13.00000000 9.62975972e-02 9.62975972e-02  2.16170313e-16  1.11394335e+00  -1.56652039e+01  9.62975972e-02
13.10000000 9.36372521e-02 9.36372521e-02  7.41039890e-17  1.11727130e+00  -1.61301584e+01  9.36372521e-02
13.20000000 9.06837444e-02 9.06837444e-02  2.29552516e-16  1.12057393e+00  -1.56391179e+01  9.06837444e-02
13.30000000 8.74429814e-02 8.74429814e-02  7.93533545e-17  1.12385164e+00  -1.61004347e+01  8.74429814e-02
13.40000000 8.39225556e-02 8.39225556e-02  8.26821092e-17  1.12710480e+00  -1.60825885e+01  8.39225556e-02
13.50000000 8.01317478e-02 8.01317478e-02  8.65935674e-17  1.13033377e+00  -1.60625144e+01  8.01317478e-02
13.60000000 7.60815205e-02 7.60815205e-02  3.64813629e-16  1.13353891e+00  -1.54379289e+01  7.60815205e-02
13.70000000 7.17844983e-02 7.17844983e-02  0.00000000e+00  1.13672057e+00  -2.00000000e+01  7.17844983e-02
13.80000000 6.72549374e-02 6.72549374e-02  0.00000000e+00  1.13987909e+00  -2.00000000e+01  6.72549374e-02
13.90000000 6.25086822e-02 6.25086822e-02  3.33020646e-16  1.14301480e+00  -1.54775288e+01  6.25086822e-02
14.00000000 5.75631114e-02 5.75631114e-02  0.00000000e+00  1.14612804e+00  -2.00000000e+01  5.75631114e-02
14.10000000 5.24370702e-02 5.24370702e-02  0.00000000e+00  1.14921911e+00  -2.00000000e+01  5.24370702e-02
14.20000000 4.71507924e-02 4.71507924e-02  2.20745831e-16  1.15228834e+00  -1.56561075e+01  4.71507924e-02
14.30000000 4.17258101e-02 4.17258101e-02  2.49446106e-16  1.15533604e+00  -1.56030233e+01  4.17258101e-02
14.40000000 3.61848524e-02 3.61848524e-02  9.58811967e-17  1.15836249e+00  -1.60182666e+01  3.61848524e-02
14.50000000 3.05517334e-02 3.05517334e-02  2.83899354e-16  1.16136800e+00  -1.55468356e+01  3.05517334e-02
14.60000000 2.48512299e-02 2.48512299e-02  3.49021654e-16  1.16435286e+00  -1.54571476e+01  2.48512299e-02
14.70000000 1.91089496e-02 1.91089496e-02  3.63122727e-16  1.16731733e+00  -1.54399466e+01  1.91089496e-02
14.80000000 1.33511905e-02 1.33511905e-02  8.44546603e-16  1.17026172e+00  -1.50733764e+01  1.33511905e-02
14.90000000 7.60479196e-03 7.60479196e-03  9.12437045e-16  1.17318627e+00  -1.50397971e+01  7.60479196e-03
15.00000000 1.89697900e-03 1.89697900e-03  4.74379423e-15  1.17609126e+00  -1.43238742e+01  1.89697900e-03
15.10000000 -3.74479981e-03 -3.74479981e-03  1.50551474e-15  1.17897695e+00  -1.48223150e+01  -3.74479981e-03
15.20000000 -9.29303965e-03 -9.29303965e-03  1.86669114e-16  1.18184359e+00  -1.57289275e+01  -9.29303965e-03
15.30000000 -1.47203507e-02 -1.47203507e-02  8.83839411e-16  1.18469143e+00  -1.50536266e+01  -1.47203507e-02
15.40000000 -1.99996322e-02 -1.99996322e-02  5.20426613e-16  1.18752072e+00  -1.52836405e+01  -1.99996322e-02
15.50000000 -2.51042486e-02 -2.51042486e-02  2.07302377e-16  1.19033170e+00  -1.56833957e+01  -2.51042486e-02
